"Dist Code","Year","State Code","State Name","Dist Name","Crop Name","Area (1000 ha)"
2,1974,14,"Chhattisgarh","Bastar","Fodder",0.09
2,1974,14,"Chhattisgarh","Bastar","Fruits",2.12
2,1974,14,"Chhattisgarh","Bastar","Onions",0.19
2,1974,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1974,14,"Chhattisgarh","Bastar","Vegetables",4.72
2,1975,14,"Chhattisgarh","Bastar","Fodder",0.13
2,1975,14,"Chhattisgarh","Bastar","Fruits",2.09
2,1975,14,"Chhattisgarh","Bastar","Onions",0.22
2,1975,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1975,14,"Chhattisgarh","Bastar","Vegetables",4.38
2,1976,14,"Chhattisgarh","Bastar","Fodder",0.1
2,1976,14,"Chhattisgarh","Bastar","Fruits",2.08
2,1976,14,"Chhattisgarh","Bastar","Onions",0.03
2,1976,14,"Chhattisgarh","Bastar","Potatoes",0.07
2,1976,14,"Chhattisgarh","Bastar","Vegetables",4.63
2,1977,14,"Chhattisgarh","Bastar","Fodder",0.09
2,1977,14,"Chhattisgarh","Bastar","Fruits",2.1
2,1977,14,"Chhattisgarh","Bastar","Onions",0.17
2,1977,14,"Chhattisgarh","Bastar","Potatoes",0.07
2,1977,14,"Chhattisgarh","Bastar","Vegetables",4.57
2,1978,14,"Chhattisgarh","Bastar","Fodder",0.12
2,1978,14,"Chhattisgarh","Bastar","Fruits",2.05
2,1978,14,"Chhattisgarh","Bastar","Onions",0.16
2,1978,14,"Chhattisgarh","Bastar","Potatoes",0.07
2,1978,14,"Chhattisgarh","Bastar","Vegetables",4.47
2,1979,14,"Chhattisgarh","Bastar","Fodder",0.13
2,1979,14,"Chhattisgarh","Bastar","Fruits",2.01
2,1979,14,"Chhattisgarh","Bastar","Onions",0.18
2,1979,14,"Chhattisgarh","Bastar","Potatoes",0.08
2,1979,14,"Chhattisgarh","Bastar","Vegetables",4.47
2,1980,14,"Chhattisgarh","Bastar","Fodder",0.11
2,1980,14,"Chhattisgarh","Bastar","Fruits",2.02
2,1980,14,"Chhattisgarh","Bastar","Onions",0.17
